,Country,Sector,Industry,Length_of_Business_Summary,Currency
DEO,United Kingdom,Consumer Defensive,Beverages - Wineries & Distilleries,891,USD
MODN,United States,Technology,Software - Application,1948,USD
HOOK,United States,Healthcare,Biotechnology,1093,USD
HOOD,United States,Financial Services,Capital Markets,1508,USD
GRMN,Switzerland,Technology,Scientific & Technical Instruments,1995,USD
QTNT,,,,0,USD
UVSP,United States,Financial Services,Banks - Regional,1133,USD
LUNG,United States,Healthcare,Medical Devices,1078,USD
INDV,United States,Healthcare,Drug Manufacturers - Specialty & Generic,1837,USD
TRCB,,,,0,
APRE,United States,Healthcare,Biotechnology,514,USD
BLKB,United States,Technology,Software - Application,1403,USD
NKTR,United States,Healthcare,Biotechnology,931,USD
BURL,United States,Consumer Cyclical,Apparel Retail,506,USD
NK,,,,0,
HYH,,,,0,
STOR,,,,0,
YALA,United Arab Emirates,Technology,Software - Application,534,USD
TAST,United States,Consumer Cyclical,Restaurants,458,USD
WGS,United States,Healthcare,Health Information Services,619,USD
CDP,United States,Real Estate,REIT - Office,693,USD
SMSI,United States,Technology,Software - Application,934,USD
PEBO,United States,Financial Services,Banks - Regional,1618,USD
XPLR,,,,0,
SEM,United States,Healthcare,Medical Care Facilities,1612,USD
MMC,United States,Financial Services,Insurance Brokers,929,USD
FNKO,United States,Consumer Cyclical,Leisure,1107,USD
BRSS,,,,0,
FUN,United States,Consumer Cyclical,Leisure,1032,USD
EU,United States,Energy,Uranium,1651,USD
NTST,United States,Real Estate,REIT - Retail,560,USD
GCT,United States,Technology,Software - Infrastructure,758,USD
OCLR,,,,0,
CMRE,Monaco,Industrials,Marine Shipping,301,USD
HIVE,Canada,Financial Services,Capital Markets,592,USD
LE,United States,Consumer Cyclical,Apparel Retail,808,USD
LOXO,,,,0,
CATC,United States,Financial Services,Banks - Regional,1081,USD
NRG,United States,Utilities,Utilities - Independent Power Producers,1539,USD
RBLX,United States,Communication Services,Electronic Gaming & Multimedia,508,USD
LPRO,United States,Financial Services,Credit Services,647,USD
ZOM,United States,Healthcare,Medical Devices,1202,USD
IRIX,United States,Healthcare,Medical Devices,1864,USD
CCL,United States,Consumer Cyclical,Travel Services,801,USD
MAXR,,,,0,
TGLS,Colombia,Basic Materials,Building Materials,1819,USD
TRCH,,,,0,
DWSN,United States,Energy,Oil & Gas Equipment & Services,744,USD
SXI,United States,Industrials,Specialty Industrial Machinery,1979,USD
CHUBA,,,,0,
QTRH,,,,0,
CBPO,,,,0,
SDC,,,,0,
AGL,United States,Healthcare,Medical Care Facilities,443,USD
SOPA,Singapore,Technology,Software - Application,1341,USD
ENIA,,,,0,
ASMB,United States,Healthcare,Biotechnology,1175,USD
UNTY,United States,Financial Services,Banks - Regional,966,USD
AUO,,,,0,
TKC,Turkey,Communication Services,Telecom Services,1796,USD
ATU,,,,0,
ALXN,,,,0,
ZNH,,,,0,
SSSS,United States,Financial Services,Asset Management,540,USD
AIMC,,,,0,
FIS,United States,Technology,Information Technology Services,732,USD
LPTV,United States,Communication Services,Broadcasting,970,USD
PGLC,,,,0,
PTVE,United States,Consumer Cyclical,Packaging & Containers,1290,USD
AMKR,United States,Technology,Semiconductor Equipment & Materials,1987,USD
SOI,United States,Energy,Oil & Gas Equipment & Services,907,USD
CTIC,,,,0,
WSC,United States,Industrials,Rental & Leasing Services,938,USD
LVLT,,,,0,
KT,South Korea,Communication Services,Telecom Services,1968,USD
REN,,,,0,
FCFS,United States,Financial Services,Credit Services,1048,USD
ABCO,,,,0,
CNX,United States,Energy,Oil & Gas E&P,1368,USD
IQV,United States,Healthcare,Diagnostics & Research,1940,USD
WETF,,,,0,
TTPH,,,,0,
ANGN,,,,0,
LESL,United States,Consumer Cyclical,Specialty Retail,778,USD
VOXX,United States,Technology,Consumer Electronics,1911,USD
ED,United States,Utilities,Utilities - Regulated Electric,1227,USD
FCAU,,,,0,
ALOG,,,,0,
BCEI,,,,0,
NTRI,,,,0,
IMAX,Canada,Communication Services,Entertainment,1975,USD
IVR,United States,Real Estate,REIT - Mortgage,936,USD
PHIN,United States,Consumer Cyclical,Auto Parts,1254,USD
ADV,United States,Communication Services,Advertising Agencies,957,USD
GIII,United States,Consumer Cyclical,Apparel Manufacturing,1241,USD
APTI,,,,0,
MCY,United States,Financial Services,Insurance - Property & Casualty,908,USD
UTI,United States,Consumer Defensive,Education & Training Services,851,USD
FTK,United States,Energy,Oil & Gas Equipment & Services,1173,USD
VSTA,Brazil,Consumer Defensive,Education & Training Services,1999,USD
CANG,China,Consumer Cyclical,Auto & Truck Dealerships,1070,USD
GMED,United States,Healthcare,Medical Devices,1426,USD
ITUB,Brazil,Financial Services,Banks - Regional,1342,USD
RYI,United States,Industrials,Metal Fabrication,814,USD
DCP,,,,0,
ATRS,,,,0,
ORRF,United States,Financial Services,Banks - Regional,1269,USD
COGT,United States,Healthcare,Biotechnology,837,USD
PRFT,United States,Technology,Information Technology Services,1608,USD
SINA,,,,0,
ATUS,United States,Communication Services,Telecom Services,1740,USD
RYAM,United States,Basic Materials,Chemicals,1643,USD
HRTG,United States,Financial Services,Insurance - Property & Casualty,1247,USD
VALE,Brazil,Basic Materials,Other Industrial Metals & Mining,789,USD
EOG,United States,Energy,Oil & Gas E&P,399,USD
PLTK,Israel,Communication Services,Electronic Gaming & Multimedia,521,USD
PKE,United States,Industrials,Aerospace & Defense,1036,USD
NTES,China,Communication Services,Electronic Gaming & Multimedia,1886,USD
NOVA,United States,Technology,Solar,589,USD
TACO,,,,0,USD
CDTX,United States,Healthcare,Biotechnology,906,USD
FMSA,,,,0,
FBMS,United States,Financial Services,Banks - Regional,1846,USD
HGEN,,,,0,
CBNK,United States,Financial Services,Banks - Regional,1021,USD
FIGS,United States,Consumer Cyclical,Apparel Manufacturing,799,USD
BIOA,,,,0,
ARTX,,,,0,
RUSHA,United States,Consumer Cyclical,Auto & Truck Dealerships,1639,USD
DCPH,United States,Healthcare,Drug Manufacturers - Specialty & Generic,972,USD
WAAS,,,,0,
DSKE,,,,0,
ALZN,United States,Healthcare,Biotechnology,758,USD
BBIO,United States,Healthcare,Biotechnology,1517,USD
TTOO,United States,Healthcare,Diagnostics & Research,1415,USD
PTRA,,,,0,USD
VMC,United States,Basic Materials,Building Materials,903,USD
PPBT,Israel,Healthcare,Biotechnology,1272,USD
SNSS,,,,0,
NCNA,United Kingdom,Healthcare,Biotechnology,1402,USD
MGM,United States,Consumer Cyclical,Resorts & Casinos,881,USD
IT,United States,Technology,Information Technology Services,899,USD
IIPR,United States,Real Estate,REIT - Industrial,393,USD
NI,United States,Utilities,Utilities - Regulated Gas,1295,USD
CPE,,,,0,
AMRC,United States,Industrials,Engineering & Construction,1816,USD
PRQR,Netherlands,Healthcare,Biotechnology,1257,USD
VAL,Bermuda,Energy,Oil & Gas Equipment & Services,560,USD
PBIP,,,,0,
LSEA,United States,Real Estate,Real Estate - Development,402,USD
ACRS,United States,Healthcare,Diagnostics & Research,991,USD
FVCB,United States,Financial Services,Banks - Regional,1109,USD
CPAC,Peru,Basic Materials,Building Materials,1199,USD
VWE,United States,Consumer Defensive,Beverages - Wineries & Distilleries,469,USD
HEXO,,,,0,
EB,United States,Technology,Software - Application,540,USD
NEWM,,,,0,
PSA,United States,Real Estate,REIT - Industrial,646,USD
REXR,United States,Real Estate,REIT - Industrial,787,USD
NAVI,United States,Financial Services,Credit Services,1144,USD
DOOR,United States,Industrials,Building Products & Equipment,1684,USD
SA,Canada,Basic Materials,Gold,404,USD
ALL,United States,Financial Services,Insurance - Property & Casualty,1974,USD
LYTS,United States,Technology,Electronic Components,1684,USD
SYM,United States,Industrials,Specialty Industrial Machinery,415,USD
GOGO,United States,Communication Services,Telecom Services,1003,USD
CUZ,United States,Real Estate,REIT - Office,625,USD
GCAP,,,,0,
NRIX,United States,Healthcare,Biotechnology,1186,USD
PNT,,,,0,
BGCP,,,,0,
CHRW,United States,Industrials,Integrated Freight & Logistics,1633,USD
UGP,Brazil,Energy,Oil & Gas Refining & Marketing,1017,USD
PWR,United States,Industrials,Engineering & Construction,2038,USD
AE,United States,Energy,Oil & Gas Refining & Marketing,1316,USD
ORIC,United States,Healthcare,Biotechnology,1352,USD
AKYA,United States,Healthcare,Medical Instruments & Supplies,1359,USD
ML,United States,Technology,Software - Application,1023,USD
AMSC,United States,Industrials,Specialty Industrial Machinery,1894,USD
SSYS,United States,Technology,Computer Hardware,2000,USD
ZNGA,,,,0,
AVEO,,,,0,
BIDU,China,Communication Services,Internet Content & Information,1988,USD
MMS,United States,Industrials,Specialty Business Services,1706,USD
BHBK,,,,0,
KFRC,United States,Industrials,Staffing & Employment Services,1279,USD
FISI,United States,Financial Services,Banks - Regional,1668,USD
EDSA,Canada,Healthcare,Biotechnology,1370,USD
KRA,,,,0,
GLOG,,,,0,
MSFG,,,,0,
PRKS,United States,Consumer Cyclical,Leisure,1103,USD
KNX,United States,Industrials,Trucking,1739,USD
PSQH,United States,Technology,Software - Application,436,USD
BCDA,United States,Healthcare,Biotechnology,917,USD
STLD,United States,Basic Materials,Steel,1974,USD
HII,United States,Industrials,Aerospace & Defense,1318,USD
STAR,,,,0,
VERI,United States,Technology,Software - Infrastructure,1276,USD
CANO,,,,0,
SOLV,United States,Healthcare,Health Information Services,1133,USD
AMWD,United States,Consumer Cyclical,"Furnishings, Fixtures & Appliances",849,USD
VUZI,United States,Technology,Consumer Electronics,1252,USD
PBH,United States,Healthcare,Drug Manufacturers - Specialty & Generic,1753,USD
TCBP,United Kingdom,Healthcare,Biotechnology,523,USD
OBIO,United States,Healthcare,Biotechnology,840,USD
RYTM,United States,Healthcare,Biotechnology,974,USD
TENB,United States,Technology,Software - Infrastructure,1432,USD
CQP,United States,Energy,Oil & Gas Midstream,592,USD
NKLA,United States,Industrials,Farm & Heavy Construction Machinery,801,USD
AMRK,United States,Financial Services,Capital Markets,1699,USD
BKD,United States,Healthcare,Medical Care Facilities,1204,USD
NSTG,United States,Healthcare,Medical Instruments & Supplies,2090,USD
AJX,United States,Real Estate,REIT - Mortgage,527,USD
CLBS,,,,0,
LTH,United States,Consumer Cyclical,Leisure,1257,USD
VZ,United States,Communication Services,Telecom Services,1568,USD
CAKE,United States,Consumer Cyclical,Restaurants,551,USD
CRBG,United States,Financial Services,Asset Management,1397,USD
YS,China,Healthcare,Biotechnology,547,USD
API,United States,Technology,Software - Application,1301,USD
NTCT,United States,Technology,Software - Infrastructure,1990,USD
IART,United States,Healthcare,Medical Devices,1506,USD
CDNS,United States,Technology,Software - Application,1985,USD
THAR,United States,Healthcare,Biotechnology,1021,USD
CUI,,,,0,
FTI,United States,Energy,Oil & Gas Equipment & Services,1726,USD
ENLT,Israel,Utilities,Utilities - Renewable,412,USD
NCBS,,,,0,
BACK,United States,Healthcare,Medical Care Facilities,254,USD
VMEO,United States,Technology,Software - Application,600,USD
RSSS,United States,Technology,Software - Application,742,USD
GPC,United States,Consumer Cyclical,Auto Parts,1805,USD
ACAD,United States,Healthcare,Biotechnology,1567,USD
PDLI,,,,0,
AMBC,United States,Financial Services,Insurance - Specialty,992,USD
ALNA,,,,0,
MOLN,Switzerland,Healthcare,Biotechnology,1068,USD
SMTS,,,,0,
SLI,Canada,Basic Materials,Other Industrial Metals & Mining,433,USD
AIMT,,,,0,
FDMT,United States,Healthcare,Biotechnology,1443,USD
CBM,,,,0,
KMI,United States,Energy,Oil & Gas Midstream,1564,USD
ASNS,United States,Technology,Communication Equipment,1033,USD
PCB,United States,Financial Services,Banks - Regional,1929,USD
YRD,China,Financial Services,Credit Services,900,USD
GXO,United States,Industrials,Integrated Freight & Logistics,586,USD
GNCA,,,,0,
UWMC,United States,Financial Services,Mortgage Finance,305,USD
BCTX,Canada,Healthcare,Biotechnology,560,USD
SNCE,,,,0,
NRXP,United States,Healthcare,Biotechnology,1035,USD
BFH,United States,Financial Services,Credit Services,1444,USD
XEL,United States,Utilities,Utilities - Regulated Electric,1065,USD
NXEO,,,,0,
PSN,United States,Technology,Information Technology Services,1489,USD
COTY,United States,Consumer Defensive,Household & Personal Products,1206,USD
DEN,,,,0,
UTX,,,,0,
WGL,,,,0,
APVO,United States,Healthcare,Biotechnology,1249,USD
COG,,,,0,
ALOT,United States,Technology,Computer Hardware,1982,USD
SBSI,United States,Financial Services,Banks - Regional,1546,USD
JE,,,,0,
CRBU,United States,Healthcare,Biotechnology,832,USD
ROCC,,,,0,
WTI,United States,Energy,Oil & Gas E&P,339,USD
PFSW,,,,0,
KZIA,Australia,Healthcare,Biotechnology,588,USD
MAMS,,,,0,
CDK,,,,0,
ENLC,United States,Energy,Oil & Gas Midstream,778,USD
PLTR,United States,Technology,Software - Infrastructure,1454,USD
FGI,United States,Consumer Cyclical,"Furnishings, Fixtures & Appliances",770,USD
RGTI,United States,Technology,Computer Hardware,1008,USD
OLO,United States,Technology,Software - Application,1222,USD
ESES,,,,0,
ODV,Canada,Basic Materials,Gold,455,USD
FA,United States,Industrials,Specialty Business Services,1218,USD
BABY,,,,0,
OWL,United States,Financial Services,Asset Management,927,USD
SCYX,United States,Healthcare,Drug Manufacturers - Specialty & Generic,1091,USD
PAYO,United States,Technology,Software - Infrastructure,834,USD
APAM,United States,Financial Services,Asset Management,972,USD
WGO,United States,Consumer Cyclical,Recreational Vehicles,1449,USD
EAST,United States,Consumer Defensive,Beverages - Wineries & Distilleries,697,USD
CADE,United States,Financial Services,Banks - Regional,679,USD
RECN,,,,0,
CIFR,United States,Financial Services,Capital Markets,303,USD
NEOS,,,,0,
KDMN,,,,0,
CING,United States,Healthcare,Biotechnology,690,USD
ACOR,,,,0,
BTCM,United States,Technology,Information Technology Services,609,USD
SGEN,,,,0,
IEC,,,,0,
SHBI,United States,Financial Services,Banks - Regional,1314,USD
BP,United Kingdom,Energy,Oil & Gas Integrated,728,USD
LDL,,,,0,
VCSA,United States,Technology,Software - Application,279,USD
MYPS,United States,Communication Services,Electronic Gaming & Multimedia,507,USD
IMRA,,,,0,
KKR,United States,Financial Services,Asset Management,4210,USD
XPEL,United States,Consumer Cyclical,Auto Parts,1012,USD
VACC,,,,0,
JCI,Ireland,Industrials,Building Products & Equipment,1236,USD
LNW,United States,Consumer Cyclical,Gambling,1466,USD
GOOG,United States,Communication Services,Internet Content & Information,1066,USD
DPLO,,,,0,
ANVS,United States,Healthcare,Biotechnology,712,USD
PCH,United States,Real Estate,REIT - Specialty,577,USD
BCPC,United States,Basic Materials,Specialty Chemicals,1969,USD
FND,United States,Consumer Cyclical,Home Improvement Retail,851,USD
QTNA,,,,0,
MTRX,United States,Industrials,Engineering & Construction,1996,USD
APH,United States,Technology,Electronic Components,1511,USD
FDX,United States,Industrials,Integrated Freight & Logistics,993,USD
CMFN,,,,0,
VNTR,,,,0,
FWRG,United States,Consumer Cyclical,Restaurants,382,USD
IOBT,Denmark,Healthcare,Biotechnology,772,USD
LL,United States,Consumer Cyclical,Home Improvement Retail,994,USD
MBFI,,,,0,
RBS,,,,0,
CLSK,United States,Financial Services,Capital Markets,437,USD
KLDX,,,,0,
HBB,United States,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1474,USD
MAR,United States,Consumer Cyclical,Lodging,933,USD
HBMD,,,,0,
LQ,,,,0,
KEYS,United States,Technology,Scientific & Technical Instruments,1986,USD
FTDR,United States,Consumer Cyclical,Personal Services,1139,USD
SYPR,United States,Consumer Cyclical,Auto Parts,1754,USD
SOND,United States,Consumer Cyclical,Lodging,364,USD
DRRX,United States,Healthcare,Drug Manufacturers - Specialty & Generic,1254,USD
IBKC,,,,0,
NRC,United States,Healthcare,Health Information Services,1386,USD
RCMT,United States,Industrials,Conglomerates,1631,USD
HSIC,United States,Healthcare,Medical Distribution,1514,USD
BOH,United States,Financial Services,Banks - Regional,1568,USD
VIST,Mexico,Energy,Oil & Gas E&P,582,USD
KROS,United States,Healthcare,Biotechnology,1063,USD
ASAI,Brazil,Consumer Defensive,Grocery Stores,488,USD
MLVF,,,,0,
BSBR,Brazil,Financial Services,Banks - Regional,1368,USD
CELH,United States,Consumer Defensive,Beverages - Non-Alcoholic,1047,USD
GREE,United States,Financial Services,Capital Markets,470,USD
NVTA,,,,0,
OPRA,Norway,Communication Services,Internet Content & Information,883,USD
TRVI,United States,Healthcare,Biotechnology,1013,USD
STL,,,,0,
MGA,Canada,Consumer Cyclical,Auto Parts,1717,USD
PEI,,,,0,
WLDN,United States,Industrials,Engineering & Construction,1571,USD
AEE,United States,Utilities,Utilities - Regulated Electric,733,USD
DRCT,United States,Communication Services,Advertising Agencies,601,USD
ACXP,United States,Healthcare,Biotechnology,686,USD
FTV,United States,Technology,Scientific & Technical Instruments,1742,USD
VCRA,,,,0,
BFRI,United States,Healthcare,Drug Manufacturers - Specialty & Generic,791,USD
AMTI,,,,0,
ADM,United States,Consumer Defensive,Farm Products,2000,USD
